"Account","Portfolio","Ticker","ContractLabel","Direction","Quantity","Stop","T1","T2","Decision","Notes","LastPriority","LastAction","LastStatus","LastSeen"
"IRA","stock","RELY","","stock_long","","24.56","26.68","27.87","Review","","LOCATE_IN_TOS","OPEN_WORKING_ORDER_AND_INSPECT","NOT_VISIBLE_IN_CURRENT_VIEW","2026-08-15 18:15:57"
"IRA","stock","CXW","","stock_long","","29.65","35.5","37.4","Review","","LOCATE_IN_TOS","OPEN_WORKING_ORDER_AND_INSPECT","NOT_VISIBLE_IN_CURRENT_VIEW","2026-08-15 18:15:57"
"IRA","stock","CGON","","stock_long","","68.35","79.69","83.11","Review","","LOCATE_IN_TOS","OPEN_WORKING_ORDER_AND_INSPECT","NOT_VISIBLE_IN_CURRENT_VIEW","2026-08-15 18:15:57"
"IRA","stock","LLY","","stock_long","","1112.71","1287.61","1336.16","Review","","LOCATE_IN_TOS","OPEN_WORKING_ORDER_AND_INSPECT","NOT_VISIBLE_IN_CURRENT_VIEW","2026-08-15 18:15:57"
"IRA","stock","DNTH","","stock_long","","100.22","117.68","121.65","Review","","LOCATE_IN_TOS","OPEN_WORKING_ORDER_AND_INSPECT","NOT_VISIBLE_IN_CURRENT_VIEW","2026-08-15 18:15:57"
"Living Trust","options","RELY","23C 09-18","call","6","24.56","26.68","27.87","Review","","LOCATE_IN_TOS","OPEN_WORKING_ORDER_AND_INSPECT","NOT_VISIBLE_IN_CURRENT_VIEW","2026-08-15 18:15:57"
"Living Trust","options","CXW","32C 09-18","call","12","29.65","35.5","37.4","Review","","LOCATE_IN_TOS","OPEN_WORKING_ORDER_AND_INSPECT","NOT_VISIBLE_IN_CURRENT_VIEW","2026-08-15 18:15:57"
"Living Trust","options","CXW","32/30P 09-18","put","16","29.65","35.5","37.4","Review","","LOCATE_IN_TOS","OPEN_WORKING_ORDER_AND_INSPECT","NOT_VISIBLE_IN_CURRENT_VIEW","2026-08-15 18:15:57"
"Living Trust","options","CGON","70C 09-18","call","2","68.35","79.69","83.11","Review","","LOCATE_IN_TOS","OPEN_WORKING_ORDER_AND_INSPECT","NOT_VISIBLE_IN_CURRENT_VIEW","2026-08-15 18:15:57"
"Living Trust","options","CGON","75/85C 09-18","call","3","68.35","79.69","83.11","Review","","LOCATE_IN_TOS","OPEN_WORKING_ORDER_AND_INSPECT","NOT_VISIBLE_IN_CURRENT_VIEW","2026-08-15 18:15:57"
"Living Trust","options","LLY","1160C 09-18","call","1","1112.71","1287.61","1336.16","Review","","LOCATE_IN_TOS","OPEN_WORKING_ORDER_AND_INSPECT","NOT_VISIBLE_IN_CURRENT_VIEW","2026-08-15 18:15:57"
"Living Trust","options","LLY","1160/1300C 09-18","call","1","1112.71","1287.61","1336.16","Review","","LOCATE_IN_TOS","OPEN_WORKING_ORDER_AND_INSPECT","NOT_VISIBLE_IN_CURRENT_VIEW","2026-08-15 18:15:57"
"Living Trust","options","DNTH","100C 09-18","call","2","100.22","117.68","121.65","Review","","LOCATE_IN_TOS","OPEN_WORKING_ORDER_AND_INSPECT","NOT_VISIBLE_IN_CURRENT_VIEW","2026-08-15 18:15:57"
"Living Trust","options","DNTH","100/115C 09-18","call","2","100.22","117.68","121.65","Review","","LOCATE_IN_TOS","OPEN_WORKING_ORDER_AND_INSPECT","NOT_VISIBLE_IN_CURRENT_VIEW","2026-08-15 18:15:57"
